Task,Classifier,Accuracy,Precision,Recall,F1-Score,Time (s)
Binary,SVM (RBF),0.5787,0.5983,0.6581,0.6268,47.1
Binary,Random Forest,0.5867,0.6066,0.6574,0.6310,39.0
Binary,KNN (k=5),0.5221,0.5522,0.5860,0.5686,1.5
3-Class,SVM (RBF),0.4750,0.4142,0.4750,0.4365,43.6
3-Class,Random Forest,0.4738,0.4555,0.4738,0.4344,41.9
3-Class,KNN (k=5),0.4321,0.3897,0.4321,0.4057,1.5
